a priori	/ɑ ˈpriori/
A-oikeudet	/ˈɑoiˌkeudet/
A-pylväs	/ˈɑpylvæs/
aakkonen	/ˈɑɑkkonen/
aakkosellinen	/ˈɑɑkkoˌsellinen/
aakkosellisesti	/ˈɑɑkkoˌselliˌsesti/
aakkosellisuus	/ˈɑɑkkoˌsellisuus/
aakkosittain	/ˈɑɑkkoˌsittɑin/
aakkosjärjestys	/ˈɑɑkkosˌjærjestys/
aakkosnumeerinen	/ˈɑɑkkosnuˌmeerinen/
aakkostaa	/ˈɑɑkkostɑɑ/
aakkosto	/ˈɑɑkkosto/
aakkostus	/ˈɑɑkkostus/
aalloittain	/ˈɑɑlloittɑin/
aalloittainen	/ˈɑɑlloitˌtɑinen/
aalloittaisuus	/ˈɑɑlloitˌtɑisuus/
aallokas	/ˈɑɑllokɑs/
aallokko	/ˈɑɑllokko/
aallonharja	/ˈɑɑllonˌhɑrjɑ/
aallonmurtaja	/ˈɑɑllonˌmurtɑjɑ/
aallonpituus	/ˈɑɑllonˌpituus/
aallonpohja	/ˈɑɑllonˌpohjɑ/
aallota	/ˈɑɑllotɑ/
aallotar	/ˈɑɑllotɑr/
aallottaa	/ˈɑɑllottɑɑ/
aallotus	/ˈɑɑllotus/
aaloe	/ˈɑɑloe/
aalto	/ˈɑɑlto/
aaltoallas	/ˈɑɑltoˌɑllɑs/
aaltoalue	/ˈɑɑltoˌɑlue/
aaltoenergia	/ˈɑɑltoeˌnergiɑ/
aaltoilla	/ˈɑɑltoillɑ/
aaltoilu	/ˈɑɑltoilu/
aaltolevy	/ˈɑɑltoˌlevy/
aaltoliike	/ˈɑɑltoˌliike/
aaltopahvi	/ˈɑɑltoˌpɑhvi/
aaltopelti	/ˈɑɑltoˌpelti/
aaltopituus	/ˈɑɑltoˌpituus/
aaltosulje	/ˈɑɑltoˌsulje/
aaltosulku	/ˈɑɑltoˌsulku/
aaltosulkumerkki	/ˈɑɑltoˌsulkuˌmerkki/
aaltoviiva	/ˈɑɑltoˌviivɑ/
aaltovoimala	/ˈɑɑltoˌvoimɑlɑ/
aamen	/ˈɑɑmen/
aamiainen	/ˈɑɑmiˌɑinen/
aamiaismajoitus	/ˈɑɑmiˌɑismɑˌjoitus/
aamiaistapaaminen	/ˈɑɑmiˌɑistɑˌpɑɑminen/
aamiaistunti	/ˈɑɑmiˌɑistunti/
aamu	/ˈɑɑmu/
aamu-uninen	/ˈɑɑmuuˌninen/
aamu-unisuus	/ˈɑɑmuuˌnisuus/
aamu-uutiset	/ˈɑɑmuuˌutiset/
aamuaskare	/ˈɑɑmuˌɑskɑre/
aamuateria	/ˈɑɑmuˌɑteˌriɑ/
aamuhartaus	/ˈɑɑmuˌhɑrtɑus/
aamuhämärä	/ˈɑɑmuˌhæmæræ/
aamuinen	/ˈɑɑmuinen/
aamuisin	/ˈɑɑmuisin/
aamujumalanpalvelus	/ˈɑɑmuˌjumɑˌlɑnpɑlˌvelus/
aamujuna	/ˈɑɑmuˌjunɑ/
aamukahdeksan	/ˈɑɑmuˌkɑhdeksɑn/
aamukahvi	/ˈɑɑmuˌkɑhvi/
aamukampa	/ˈɑɑmuˌkɑmpɑ/
aamukaste	/ˈɑɑmuˌkɑste/
aamukylmä	/ˈɑɑmuˌkylmæ/
aamulehti	/ˈɑɑmuˌlehti/
aamulenkki	/ˈɑɑmuˌlenkki/
aamullinen	/ˈɑɑmulˌlinen/
aamulypsy	/ˈɑɑmuˌlypsy/
aamulähetys	/ˈɑɑmuˌlæhetys/
aamulämpö	/ˈɑɑmuˌlæmpø/
aamunavaus	/ˈɑɑmuˌnɑvɑus/
aamunkoite	/ˈɑɑmunˌkoite/
aamunkoitto	/ˈɑɑmunˌkoitto/
aamunraikas	/ˈɑɑmunˌrɑikɑs/
aamunsarastus	/ˈɑɑmunsɑˌrɑstus/
aamuntorkku	/ˈɑɑmunˌtorkku/
aamunvirkku	/ˈɑɑmunˌvirkku/
aamupahoinvointi	/ˈɑɑmupɑˌhoinvointi/
aamupala	/ˈɑɑmuˌpɑlɑ/
aamupesu	/ˈɑɑmuˌpesu/
