a	/ɑː/
à	/a/
å	/oː/
AB	/²'ɑːbeː/
åbäke	/²'oːbɛːkɛ/
abbé	/ab'eː/
abbedissa	/²abɛd'ɪsːa/
abborre	/²'abːɔrːɛ/
abc	/ɑːbeːs'eː/
abc-bok	/²'ɑːbeːseːbuːk/
ABC-stridsmedel	/²ɑːbeːs'eːstrɪtsmeːdɛl/
abdikera	/abdɪk'eːra/
abdikerar	/abdɪk'eːrar/
aber	/'ɑːbɛr/
åberopa	/²'oːbɛruːpa/
åberopar	/²'oːbɛruːpar/
ABF	/ɑːbeː'ɛfː/
abnorm	/abn'ɔrːm/
abonnemang	/abɔnɛm'aŋː/
abonnent	/abɔn'ɛnːt/
abonnera	/abɔn'eːra/
abonnerar	/abɔn'eːrar/
abort	/ab'ɔʈː/
abortrådgivning	/²ab'ɔʈːroːdjiːvnɪŋ/
abrakadabra	/ɑːbrakad'ɑːbra/
abrupt	/abr'ɵpːt/
absolut	/absʊl'ʉːt/
absolutism	/absʊlɵt'ɪsːm/
absolutist	/absʊlɵt'ɪsːt/
absorbera	/absɔrb'eːra/
absorberar	/absɔrb'eːrar/
abstinens	/abstɪn'ɛnːs/
abstrahera	/abstrah'eːra/
abstraherar	/abstrah'eːrar/
abstrakt	/abstr'akːt/
abstraktion	/abstrakɧ'uːn/
absurd	/abs'ɵrːd/
AB Svensk Bilprovning	/²'ɑːbeː svɛnːsk ²b'iːlpruːvnɪŋ/
accelerera	/aksɛlɛr'eːra/
accelererar	/aksɛlɛr'eːrar/
accent	/aks'ɛnːt/
accentuera	/aksɛntɵ'eːra/
accentuerar	/aksɛntɵ'eːrar/
acceptabel	/aksɛpt'ɑːbɛl/
acceptera	/aksɛpt'eːra/
accepterar	/aksɛpt'eːrar/
accis	/aks'iːs/
aceton	/asɛt'oːn/
ack	/akː/
äckel	/'ɛkːɛl/
äckla	/²'ɛkːla/
äcklar	/²'ɛkːlar/
acklamation	/aklamaɧ'uːn/
äcklas	/²'ɛkːlas/
äcklig	/²'ɛkːlɪg/
acklimatisera sig	/aklɪmatɪs'eːraʂɛj/
ackompanjera	/akɔmpanj'eːra/
ackompanjerar	/akɔmpanj'eːrar/
ackord	/ak'oːɖ/
ackreditera	/akrɛdɪt'eːra/
ackrediterar	/akrɛdɪt'eːrar/
ackumulera	/akɵmɵl'eːra/
ackumulerar	/akɵmɵl'eːrar/
ackuratess	/akɵrat'ɛsː/
acne	/²'akːnɛ/
a conto	/ak'ɔnːtʊ/
action	/'ɛkːɧɛn/
AD	/'ɑːdeː/
adamsäpple	/²'ɑːdamsäpːlɛ/
ADB	/ɑːdeːb'eː/
addera	/ad'eːra/
adderar	/ad'eːrar/
addition	/adɪɧ'uːn/
adekvat	/adɛkv'ɑːt/
adel	/'ɑːdɛl/
ädel	/'ɛːdɛl/
ädelmetall	/²'ɛːdɛlmɛtalː/
ädelmod	/²'ɛːdɛlmuːd/
ädelsten	/²'ɛːdɛlsteːn/
adept	/ad'ɛpːt/
åder	/'oːdɛr/
åderlåta	/²'oːdɛɭoːtɛr/
aderton	/²'ɑːdɛʈɔn/
adjektiv	/²'adːjɛktiːv/
adjö	/aj'øː/
adjungera	/adjɵŋg'eːra/
adjungerar	/adjɵŋg'eːrar/
adjunkt	/adj'ɵŋːkt/, /adj'ɵŋːt/
adla	/²'ɑːdla/
adlar	/²'ɑːdlar/
administration	/admɪnɪstraɧ'uːn/
administrativ	/admɪnɪstrat'iːv/, /'adːmɪnɪstratiːv/
administrera	/admɪnɪstr'eːra/
administrerar	/admɪnɪstr'eːrar/
adoptera	/adɔpt'eːra/
adopterar	/adɔpt'eːrar/
adoption	/adɔpɧ'uːn/
adoptivbarn	/²adɔpt'iːvbɑːɳ/
adoptivförälder	/²adɔpt'iːvfœrɛlːdɛr/
ådra	/²'oːdra/
ådra sig	/²'oːdrɑːʂɛj/
adrenalin	/adrɛnal'iːn/
adress	/adr'ɛsː/
adressat	/adrɛs'ɑːt/
adressera	/adrɛs'eːra/
