آی	/ɒːj/
یا	/jɒː/
ایالات متحده	/ejɒːlɒːte mottæhede/
ایالات متحدۀ آمریکا	/ejɒːlɒːte mottæhedeje ɒːmɾiːkɒː/
آب	/ɒːb/
آبی	/ɒːbiː/
ابا	/æbɒː/
ابابیل	/æbɒːbiːl/
اباختر	/æbɒːxtæɾ/
آبادی	/ɒːbɒːdiː/
آبادان	/ɒːbædæn/
آباژور	/ɒːbɒːʒuːɾ/
آبی آسمانی	/ɒːbiːje ɒːsemɒːniː/
آب اکسیژنه	/ɒːb oksiːʒene/
آبان	/ɒːbɒːn/
آب‌پنیر	/ɒːbpæniːɾ/
آبتنی	/ɒːbtæniː/
آبتنی کردن	/ɒːbtæniːkæɾdæn/
ابجد	/ɒːbǧæd/
آبجو	/ɒːbd͡ʒo/
آبجو	/ɒːbd͡ʒoʊ/
آبجو زدن	/ɒːbd͡ʒozædæn/
آبچین	/ɒːbt͡ʃiːn/
آب حیات	/ɒːbe hejɒːt/
آبخاز	/ɒːbxɒːz/
آبخازستان	/ɒːbxɒːzestɒːn/
آبخازیه	/ɒːbxɒːziːje/
آب دادن	/ɒːbdɒːdæn/
آبدست	/ɒːbdæst/
ابر	/æbæɾ/
آبراه	/ɒːbɾɒːh/
ابراهیم	/ebɾɒːhiːm/, /iːbɾɒːhiːm/
ابر اورت	/æbɾe uːɾt/
ابربازار	/æbɾæbɒːzɒːɾ/
آبریز	/ɒːbɾiːz/
ابریشم	/æbɾiːʃæm/
ابریق	/ebɾiːɢ/
ابرنواختر	/æbæɾnouːæxtæɾ/
ابرو	/æbɾuː/
آبزیدان	/ɒːbziːdɒːn/
آب زدن	/ɒːbzædæn/
آبزی شناسی	/ɒːbziː ʃenɒːsiː/
آب سیب	/ɒːbe siːb/
آبستنی	/ɒːbestæniː/
آب‌سنگ	/ɒːbsænɡ/
آبشار	/ɒːbʃɒːɾ/
آبشار	/ɒːbʃɒːɾʔ/
آب شدن	/ɒːbʃodæn/
آبغوره	/ɒːbɢuːɾe/
آبغوره گرفتن	/ɒːbɢuːɾeɡeɾeftæn/
آبفشاری	/ɒːbfeʃæɾiː/
آب کردن	/ɒːbkæɾdæn/
آبکش	/ɒːbkeʃ/
آب کشیدن	/ɒːbkeʃiːdæn/
آبکش کردن	/ɒːbkeʃkæɾdæn/
آب گرفتن	/ɒːbɡeɾeftæn/
آبگینه	/ɒːbɡiːne/
آبگونه	/ɒːbɡuːne/
ابلاغ	/eblɒːɢ/
ابلاغ کردن	/eblɒːɢkæɾdæn/
آبْلرْزه	/ɒːblæɾze/
آب معدنی	/ɒːb mæʔdæniː/
آبمیوه	/ɒːbmiːve/
ابن سینا	/ebne siːnɒː/
آب‌نما	/ɒːbnæmɒː/
ابهام	/ebhɒːm/
ابوالهول	/æbuːælhuːl/
ابوظبی	/æbuːzɒːbiː/
آب و هوا	/ɒːbohævɒː/
اپاختر	/æpɒːxtæɾ/
آی‌پاد	/ɒːjpɒːd/
آپارتمان	/ɒːpɒːɾtemɒːn/
اپسیلون	/epsiːlon/
اپی فیلوم	/epiː fiːluːm/
اپل	/epl/
اتازونی	/etɒːzuːniː/
اتاق	/otɒːɢ/
اتاق گاز	/otɒːɢe ɡɒːz/
ایتالیایی	/iːtæliːjɒːjiː/
ایتالیا	/iːtɒːliːjɒː/
آیت‌الله	/ɒːjætollɒːh/
اتحاد	/ettehɒːd/
اتحاد جماهیر شوروی سوسیالیستی	/ettehɒːde d͡ʒæmɒːhiːɾe ʃuːɾæviːje sosiːjɒːliːstiː/
اتحاد شوروی	/ettehɒːde ʃouːɾæviː/
اتحاد شوروی	/ettehɒːde ʃuːɾæviː/
اتحادیه اروپا	/ettehɒːdiːje oɾuːpɒː/
اتحادیه آفریقا	/ettehɒːdiːje ɒːfɾiːɢɒː/
اتریش	/otɾiːʃ/
آتش	/ɒːtæʃ/
آتش‌بس	/ɒːtæʃbæs/
آتش زدن	/ɒːtæʃzædæn/
آتشسوزی	/ɒːtæʃsuːziː/
آتش‌فشان	/ɒːteʃfeʃɒːn/
آتش کشیدن	/ɒːtæʃkeʃiːdæn/
آتش گرفتن	/ɒːtæʃɡeɾeftæn/
آتش‌نشان	/ɒːtæʃneʃɒːn/
اتصال	/ettesɒːl/
اتصال مجازی	/ettesɒːle mæd͡ʒɒːziː/
اتفاقا	/ettefɒːɢæn/
اتفاقه دیگه	/ettefɒːɢe diːɡe/
آتن	/ɒːten/
آتنا	/ɒːtenɒː/
اتهام	/ettehɒːm/
اتهام خوردن	/ettehɒːmxoɾdæn/
اتهام زدن	/ettehɒːmzædæn/
اتو	/otuː/
اتوبوس	/otobuːs/
اتود	/etuːd/
اتود زدن	/etuːdzædæn/
اتو زدن	/otuːzædæn/
اتو کردن	/otuːkæɾdæn/
اثر	/æsæɾ/
اثر کردن	/æsæɾkæɾdæn/
اثر گرفتن	/æsæɾɡeɾeftæn/
ایجاد	/iːd͡ʒɒːd/
ایجاد شدن	/iːd͡ʒɒːdʃodæn/
ایجاد کردن	/iːd͡ʒɒːdkæɾdæn/
اجاره	/ed͡ʒɒːɾe/
اجاره دادن	/ed͡ʒɒːɾe dɒːdæn/
اجاره دادن	/ed͡ʒɒːɾedɒːdæn/
اجاره کردن	/ed͡ʒɒːɾe kæɾdæn/
اجاره کردن	/ed͡ʒɒːɾekæɾdæn/
اجازه	/ed͡ʒɒːze/
اجازه دادن	/ed͡ʒɒːzedɒːdæn/
اجاس	/ed͡ʒɒːs/
اجاق	/od͡ʒɒːɢ/
آجر	/ɒːd͡ʒoɾ/
آجری	/ɒːd͡ʒoɾiː/
اجرا	/ed͡ʒɾɒː/
اجرا کردن	/ed͡ʒɾɒːkæɾdæn/
اجماع	/ed͡ʒmɒːʔ/
اجنبی	/æd͡ʒnæbiː/
اچ‌تی‌ام‌ال	/et͡ʃtiːemel/
آچمز	/ɒːt͡ʃmæz/
احتیاج	/ehtiːɒːd͡ʒ/
