가	/ka̠/
가가	/ka̠ɡa̠/
가가대소	/ˈka̠ːɡa̠dɛ̝sʰo̞/
가가대소하다	/ˈka̠ːɡa̠dɛ̝sʰo̞ɦa̠da̠/
가가례	/ka̠ɡa̠ɾje̞/, /ka̠ɡa̠ɾe̞/
가가린	/ka̠ɡa̠ɾin/
가가방	/ˈka̠ːɡa̠ba̠ŋ/
가가성자	/ka̠ɡa̠sʰʌ̹ŋd͡ʑa̠/
가가우스어	/ka̠ɡa̠usʰɯʌ̹/
가가하다	/ˈka̠ːɡa̠ɦa̠da̠/
가가호호	/ka̠ɡa̠βo̞βo̞/
가각	/ka̠ɡa̠k̚/
가각고	/ka̠ɡa̠k̚k͈o̞/
가각본	/ka̠ɡa̠k̚p͈o̞n/
가각하다	/ˈka̠ːɡa̠kʰa̠da̠/
가각히	/ˈka̠ːɡa̠kçi/
가간	/ka̠ɡa̠n/
가간사	/ka̠ɡa̠nsʰa̠/
가간집물	/ka̠ɡa̠nd͡ʑimmuɭ/
가감	/ka̠ɡa̠m/
가감되다	/ka̠ɡa̠mdø̞da̠/, /ka̠ɡa̠mdwe̞da̠/
가감법	/ka̠ɡa̠mp͈ʌ̹p̚/
가감변	/ka̠ɡa̠mbjʌ̹n/
가감소거법	/ka̠ɡa̠msʰo̞ɡʌ̹bʌ̹p̚/
가감승제	/ka̠ɡa̠msʰɯŋd͡ʑe̞/
가감승합제	/ka̠ɡa̠msʰɯŋɦa̠p̚t͡ɕ͈e̞/
가감역	/ˈka̠ːɡa̠mjʌ̹k̚/
가감역관	/ˈka̠ːɡa̠mjʌ̹k̚k͈wa̠n/
가감은휘	/ka̠ɡa̠mɯnɦɥi/, /ka̠ɡa̠mɯnɦy/
가감저항기	/ka̠ɡa̠md͡ʑʌ̹ɦa̠ŋɡi/
가감지인	/ˈka̠ːɡa̠md͡ʑiin/
가감축전기	/ka̠ɡa̠mt͡ɕʰuk̚t͡ɕ͈ʌ̹nɡi/
가감하다	/ka̠ɡa̠mɦa̠da̠/
가감합제	/ka̠ɡa̠mɦa̠p̚t͡ɕ͈e̞/
가강	/ka̠ɡa̠ŋ/
가강수량	/ka̠ɡa̠ŋsʰuɾja̠ŋ/
가강하다	/ka̠ɡa̠ŋɦa̠da̠/
가강히	/ka̠ɡa̠ŋʝi/
가개	/ka̠ɡɛ̝/
가개비	/ka̠ɡɛ̝bi/
가객	/ka̠ɡɛ̝k̚/
가갸	/ka̠ɡja̠/
가갸거겨	/ka̠ɡja̠ɡʌ̹ɡjʌ̹/
가갸글	/ka̠ɡja̠ɡɯɭ/
가갸날	/ka̠ɡja̠na̠ɭ/
가갸시절	/ka̠ɡja̠ɕʰid͡ʑʌ̹ɭ/
가갸표	/ka̠ɡja̠pʰjo/
가거	/ka̠ɡʌ̹/
가거주	/ka̠ɡʌ̹d͡ʑu/
가거지지	/ˈka̠ːɡʌ̹d͡ʑid͡ʑi/
가거처	/ˈka̠ːɡʌ̹t͡ɕʰʌ̹/
가거하다	/ka̠ɡʌ̹ɦa̠da̠/
가건물	/ˈka̠ːɡʌ̹nmuɭ/
가건축	/ˈka̠ːɡʌ̹nt͡ɕʰuk̚/
가검물	/ˈka̠ːɡʌ̹mmuɭ/
가게	/ˈka̠ːɡe̞/
가게거미과	/ˈka̠ːɡe̞ɡʌ̹miɡwa̠/
가게거밋과	/ˈka̠ːɡe̞ɡʌ̹mit̚k͈wa̠/
가게내기	/ˈka̠ːɡe̞nɛ̝ɡi/
가게방	/ˈka̠ːɡe̞ba̠ŋ/
가게세	/ˈka̠ːɡe̞s͈e̞/
가게쟁이	/ˈka̠ːɡe̞d͡ʑɛ̝ŋi/
가게집	/ˈka̠ːɡe̞d͡ʑip̚/
가게채	/ˈka̠ːɡe̞t͡ɕʰɛ̝/
가겟방	/ˈka̠ːɡe̞p͈a̠ŋ/
가겟세	/ˈka̠ːɡe̞t̚s͈e̞/
가겟집	/ka̠ɡe̞t̚t͡ɕ͈ip̚/
가격	/ka̠ɡjʌ̹k̚/
가격 경쟁	/ka̠ɡjʌ̹k̚ kjʌ̹ŋd͡ʑɛ̝ŋ/
가격 정책	/ka̠ɡjʌ̹k̚ t͡ɕʌ̹ŋt͡ɕʰɛ̝k̚/
가격 카르텔	/ka̠ɡjʌ̹k̚ kʰa̠ɾɯtʰe̞ɭ/
가격 통제	/ka̠ɡjʌ̹k̚ tʰo̞ŋd͡ʑe̞/
가격 협정 카르텔	/ka̠ɡjʌ̹k̚ çjʌ̹p̚t͡ɕ͈ʌ̹ŋ kʰa̠ɾɯtʰe̞ɭ/
가격격차	/ka̠ɡjʌ̹k̚k͈jʌ̹k̚t͡ɕʰa̠/
가격격차금	/ka̠ɡjʌ̹k̚k͈jʌ̹k̚t͡ɕʰa̠ɡɯm/
가격결정론	/ka̠ɡjʌ̹k̚k͈jʌ̹ɭd͡ʑʌ̹ŋno̞n/
가격경기	/ka̠ɡjʌ̹k̚k͈jʌ̹ŋɡi/
가격 경쟁	/ka̠ɡjʌ̹k̚ kjʌ̹ŋd͡ʑɛ̝ŋ/
가격계획화	/ka̠ɡjʌ̹k̚k͈je̞ɦø̞kʰwa̠/, /ka̠ɡjʌ̹k̚k͈e̞βwe̞kʰwa̠/
가격균형	/ka̠ɡjʌ̹k̚k͈junʝjʌ̹ŋ/
가격기준	/ka̠ɡjʌ̹k̚k͈id͡ʑun/
가격대	/ka̠ɡjʌ̹k̚t͈ɛ̝/
가격대성능비	/ka̠ɡjʌ̹k̚t͈ɛ̝sʰʌ̹ŋnɯŋbi/
가격변동준비금	/ka̠ɡjʌ̹k̚p͈jʌ̹ndo̞ŋd͡ʑunbiɡɯm/
가격분할	/ka̠ɡjʌ̹k̚p͈unɦa̠ɭ/
