𠻺	/a:˨/
㝞	/a:˥/
㰳	/a:˥/, /a:˧/
AA制	/ei˥ ei˥ tsɐi˧/
account	/a:˨ kʰa:ŋ˥/
㙠	/a:i˧/
㢊	/a:i˧˥/
㗨	/a:i˧˥/, /hɐi˨/
㶭	/a:i˧˥/, /ɐi˥/, /tsa:u˧˥/
㵧	/a:i˧/, /kɔ:t˧/
䝈	/a:k˥/, /ɐk˥/
䧄	/a:k˥/, /kɔ:k˧/
㧖	/a:k˥/, /ɐk˥/, /tsi:m˥/
䄅	/a:˥/, /ky:n˧/
𠮩	/a:˥/, /li:u˥/
㛺	/a:m˥/
䉏	/a:m˧˥/, /hɐi˨/
㿄	/a:m˧/, /ɐi˧/
䬓	/a:m˧/, /kʰa:u˥/
㛪	/a:m˥/, /ki:m˥/, /hi:m˥/, /tsi:m˥/
䨄	/a:m˥/, /ɐn˧/
㞄	/a:m˥/, /ɐn˧˥/
䎨	/a:m˧/, /tsi:m˥/
䤷	/a:m˥/, /tsi:m˧˥/
㽢	/a:m˧˥/, /ɐu˧˥/, /ɐu˧/, /tsi:p˨/
䓨	/a:ŋ˥/
䞷	/a:ŋ˥/, /fa:t˥/, /kwa:t˨/
㔩	/a:p˨/
䳬	/a:˧/, /pi:t˧/, /fɔ:ŋ˧˥/, /kei˧/, /tʰou˨˩/, /tsɪk˨/, /tsi:m˧˥/
䅉	/a:˧/, /tsi:˧˥/
䁱	/a:u˥/
䉩	/a:u˥/, /a:u˥/
䜣	/a:u˥/, /a:u˧˥/, /wa:˨/, /tsa:n˥/, /tsi:n˥/
㔚	/a:u˧˥/, /ha:u˧˥/
㺫	/a:u˧/, /kʰa:u˨˩/
䙔	/a:u˥/, /tsa:u˥/, /tsɐt˧/, /tsi:m˧˥/
䢕	/a:u˥/, /tsʊk˥/, /tsʊŋ˧˥/
A貨	/ei˥ fɔ:˧/
BB	/pi:˥ pi:˥/
BB	/pi:˨˩ pi:˥/
BB仔	/pi:˨˩ pi:˥ tsɐi˧˥/
BB女	/pi:˨˩ pi:˥ nɵy˧˥/, /pi:˨˩ pi:˥ lɵy˧˥/
BB機	/pi:˥ pi:˥ kei˥/
BB車	/pi:˨˩ pi:˥ tsʰɛ:˥/
bio	/pɐi˨ ɔ:˥/
book	/pʊk˥/
book位	/pʊk˥ wɐi˧˥/
book唔到位	/pʊk˥ m̩˨˩ tou˧˥ wɐi˧˥/
book機票	/pʊk˥ kei˥ pʰi:u˧/
book酒店	/pʊk˥ tsɐu˧˥ ti:m˧/
B	/pi:˥/
caim	/kʰɛ:m˥/
caim保險	/kʰɛ:m˥ pou˧˥ hi:m˧˥/
caim稅	/kʰɛ:m˥ sɵy˧/
call	/kʰɔ:˥/
call人	/kʰɔ:˥ jɐn˨˩/
call台	/kʰɔ:˥ tʰɔ:i˨˩/
call機	/kʰɔ:˥ kei˥/
call機肉	/kʰɔ:˥ kei˥ jʊk˨/
call白車	/kʰɔ:˥ pa:k˨ tsʰɛ:˥/
call車	/kʰɔ:˥ tsʰɛ:˥/
cancer	/kʰɛ:n˥ sa:˧˥/
case	/kʰei˥ si:˧˥/
cash	/kʰɛ:˥ sy:˨˩/
cert	/sɵt˥/
cheap	/tsʰi:p˥/
cheap嘢	/tsʰi:p˥ jɛ:˩˧/
cheap精	/tsʰi:p˥ tsɪŋ˥/
check	/tsʰɛ:k˥/
check吓	/tsʰɛ:k˥ ha:˩˧/
chem	/kʰɛ:m˥/
CIB	/si:˥ ɐi˥ pi:˥/
claim	/kʰɛ:m˥/
claim保險	/kʰɛ:m˥ pou˧˥ hi:m˧˥/
claim番	/kʰɛ:m˥ fa:n˥/
claim稅	/kʰɛ:m˥ sɵy˧/
claim翻	/kʰɛ:m˥ fa:n˥/
claim返	/kʰɛ:m˥ fa:n˥/
click	/kʰɪk˥/
