a	/a/
a da mek	/adamek/
a farin	/afaɹin/
a hen ina iself	/aheninaɪself/
a konchri	/akontʃɹi/
a wa mek	/awamek/
a yaad	/ajaːd/
aaba	/aːba/
aad	/aːd/
aad fi	/aːdfi/
aad iez	/aːd iez/
aadiens	/aːdiens/
aaf	/aːf/
Aafwe Chrii	/aːfwetʃɹiː/
aagan	/aːgan/
aaganizieshan	/aːganizɪɛʃan/
aaganizm	/aːganizm̩/
Aagas	/aːgas/
aagiment	/aːgiment/
Aajentiina	/aːdʒentiːna/
aakid	/aːkid/
aal	/aːl/
aal a dem	/aːladem/
aal di taim	/aːlditaɪm/
aalmuos	/aːlmuɔs/
aalwiez	/aːlwɪɛz/
aarait	/aːɹaɪt/
aaredi	/aːɹedi/
aas	/aːs/
aas-riesin	/aːsɹɪɛsin/
aat	/aːt/
aata	/aːta/
aatagrafi	/aːtagɹafi/
aatiek	/aːtɪɛk/
aatis	/aːtis/
aawez	/aːwez/
aazwiez	/aːzwɪɛz/
ab	/ab/
abee	/abeː/
abraad	/abɹaːd/
achrakshan	/atʃɹakʃan/
achribyut	/atʃɹibjut/
ada	/ada/
adaels	/adaels/
adaels ieria	/adaels ɪɛɹia/
adawaiz	/adawaɪz/
adminischrietiv	/administʃɹɪɛtiv/
advokiet	/advokɪɛt/
Afrika	/afɹika/
afta	/afta/
agen	/agen/
agrikolcha	/agɹikoltʃa/
agrikolcharal	/agɹikoltʃaɹal/
agyu	/aɟu/
agyu se	/aɟuse/
ahn	/ã/
ai	/aɪ/
ai skuul	/aɪskuːl/
aida	/aɪda/
aidentifai	/aɪdentifaɪ/
aidentifai az	/aɪdentifaɪaz/
aidentifai wid	/aɪdentifaɪwid/
aidentiti	/aɪdentiti/
aidie	/aɪdie/
aigl	/aɪgl̩/
aijrosfier	/aɪdʒɹosfɪɛɹ/
ail	/aɪl/
ailan	/aɪlan/
ailant	/aɪlant/
Airilan	/aɪɹilan/
airish	/aɪɹiʃ/
airish pitieta	/aɪɹiʃ pitɪɛta/
ais	/aɪs/
aiskriim	/aɪskɹiːm/
aisoliet	/aɪsolɪɛt/
ait	/aɪt/
aiyan	/aɪjan/
Aizak	/aɪzak/
ajres	/adʒɹes/
aki	/aki/
aki ahn saalfish	/aki ã saːlfiʃ/
akliem	/aklɪɛm/
aknalij	/aknalidʒ/
akraas	/akɹaːs/
aktivis	/aktivis/
Aktuoba	/aktuɔba/
ala	/ala/
alaiv	/alaɪv/
alayans	/alajans/
alduo	/alduɔ/
aligeta	/aligeta/
aligeta pier	/aligeta pɪɛɹ/
Aligzanda	/aligzanda/
aliv	/aliv/
amfisbiinyan	/amfisbiːɲan/
Amtan	/amtan/
an	/an/
ana	/ana/
anarebl	/anaɹebl̩/
anda	/anda/
andastan	/andastan/
aneda	/aneda/
Anju	/andʒu/
anlain	/anlaɪn/
anles	/anles/
anmigl	/anmigl̩/
ansa	/ansa/
ansofistikietid	/ansofistikɪɛtid/
Antiiga ahn Baabyuuda	/antiːga ã baːbjuːda/
Anuova	/anuova/
Anuova Parish	/anuova paɹiʃ/
apaat	/apaːt/
apaint	/apaɪnt/
api	/api/
apier	/apɪɛɹ/
apl	/apl̩/
aplai	/aplaɪ/
apm	/apm̩/
aprishiet	/apɹiʃɪɛt/
apruoch	/apɹuɔtʃ/
apruuv	/apɹuːv/
ar	/aɹ/
ar els	/aɹels/
aredi	/aɹedi/
arinj	/aɹindʒ/
asaalt	/asaːlt/
aschranami	/astʃɹanami/
aschranomi	/astʃɹanomi/
Aschrielia	/astʃɹɪɛlja/
askaadn	/askaːdn̩/
askaadn tu	/askaːdn̩ tu/
aspital	/aspital/
at	/at/
Atlantik Uoshan	/atlantik uoʃan/
atletix	/atletiks/
atmosfier	/atmosfɪɛɹ/
aul	/aul/
avielobl	/avɪɛlobl̩/
ax	/aks/
axep	/aksep/
axtiel	/akstɪɛl/
aya	/aja/
azwel	/azwel/
Ba'aamaz	/ba'aːmaz/
baaba	/baːba/
Baabiedoz	/baːbɪɛdoz/
baagin	/baːgin/
baal	/baːl/
baan	/baːn/
baara	/baːɹa/
baas	/baːs/
baaskitbaal	/baːskitbaːl/
baat	/baːt/
baazli	/baːzli/
bad	/bad/
bada	/bada/
badarieshan	/badaɹɪɛʃan/
badi	/badi/
badman	/badman/
bai	/baɪ/
baik	/baɪk/
bailoji	/baɪlodʒi/
bait	/baɪt/
baka bush	/baka buʃ/
bakbuon	/bakbuɔn/
bakl	/bakl̩/
bami	/bamɪ/
ban	/ban/
banaana	/banaːna/
Baptis	/baptis/
batam	/batam/
batn	/batn̩/
baul	/baul/
bax	/baks/
baxin	/baksin/
baya	/baya/
bayagrafi	/bajagɹafi/
bayosfier	/bajosfɪɛɹ/
beg yu	/beg ju/
bekaa	/bekaː/
bel	/bel/
beli	/beli/
ben	/ben/
bex	/beks/
bie	/bɪɛ/
biebi	/bɪɛbi/
bied	/bɪɛd/
biefies	/bɪɛfɪɛs/
biej	/bɪɛdʒ/
biek	/bɪɛk/
bier	/bɪɛɹ/
bies	/bɪɛs/
bies pahn	/bɪɛs pã/
biesik	/bɪɛsik/
biesin	/bɪɛsin/
biev	/bɪɛv/
bifuo	/bifuɔ/
bifuor	/bifuɔɹ/
bifuotaim	/bifuɔtaɪm/
bifuotaim piipl	/bifuɔtaɪm piːpl̩/
bigop	/bɪgop/
biif	/biːl/
biini	/biːni/
bikaazn	/bikaːzn̩/
bil	/bil/
bil pahn	/bilpã/
bilang	/bilaŋ/
biyain	/bijaɪn/
bizniz	/bizniz/
blai	/blaɪ/
blak	/blak/
blak pepa	/blak pepa/
Blak Riva	/blakɹiva/
blingki	/bliŋki/
bluu	/bluː/
bod	/bod/
bokl	/bokl̩/
bon	/bon/
bongjri	/boŋdʒɹi/
bongx	/boŋks/
bot	/bot/
bota	/bota/
botn	/botn̩/
bou	/bɔu/
bout	/bɔut/
braad	/bɹaːd/
braatopsi	/bɹaːtopsi/
Brazil	/bɹazil/
bred	/bɹed/
breda	/bɹeda/
bredfruut	/bɹedfɹuːt/
brejrin	/bɹedʒɹin/
briekop	/bɹɪɛkop/
briev	/bɹɪɛv/
bring tigeda	/bɹiŋ tigeda/
bringgl	/bɹiŋgl̩/
Britn	/bɹitn/
brok	/bɹok/
broun	/bɹɔun/
Bruus	/bɹuːs/
buk	/buk/
bulfraag	/bulfɹaːg/
buod	/buɔd/
buod a chostii	/buɔdatʃostiː/
buodn skuul	/buɔdn̩ skuːl/
buot	/buɔt/
buut	/buːt/
bwai	/bwaɪ/
bwai pikni	/bwaɪ pikni/
bwail	/bwaɪl/
byuuti	/bjuːti/
chaaj	/tʃaːdʒ/
chaaklit	/tʃaːklit/
chaaklit chrii	/tʃaːklit tʃɹiː/
Chaali	/tʃaːli/
Chaina	/tʃaɪna/
chais	/tʃaɪs/
chaka-chaka	/tʃakatʃaka/
chat	/tʃat/
cheri	/tʃeɹi/
ches	/tʃes/
chichi	/tʃitʃi/
chienj	/tʃɪɛndʒ/
chiiz	/tʃiːz/
chikin	/tʃikin/
cho	/tʃo/
chobl	/tʃobl̩/
choch	/tʃotʃ/
chokcha	/tʃoktʃa/
chos	/tʃos/
chostii	/tʃostiː/
chrabl	/tʃɹabl̩/
chradishan	/tʃɹadiʃan/
chrai	/tʃɹaɪ/
chrai fi	/tʃɹaɪfi/
chrajidi	/tʃɹadʒidi/
chrang	/tʃɹaŋ/
chranzfaam	/tʃɹanzfaːm/
chranzishan	/tʃɹanziʃan/
chranzishan piiriad	/tʃɹanziʃan piːɹiad/
chranznashinal	/tʃɹanznaʃinal/
chrap	/tʃɹap/
chrapik	/tʃɹapik/
chrapikal	/tʃɹapikal/
chrech	/tʃɹetʃ/
chrecha	/tʃɹetʃa/
chrent	/tʃɹent/
chretn	/tʃɹetn̩/
chried	/tʃɹɪɛd/
chrien	/tʃɹɪɛn/
chrienin	/tʃɹɪɛnin/
chrienja	/tʃɹɪɛndʒa/
chriet	/tʃɹɪɛt/
chrii	/tʃɹiː/
chriit	/tʃɹiːt/
chriiti	/tʃɹiːti/
chrik	/tʃɹik/
chrikifai	/tʃɹikifaɪ/
Chrilaani	/tʃɹilaːni/
Chrinidad ahn Tubiego	/tʃɹinidad ã tubɪɛgo/
chrompit	/tʃɹompit/
chruu	/tʃɹuː/
chuocho	/tʃuɔtʃo/
chuochuo	/tʃuɔtʃuɔ/
chupid	/tʃupid/
chuu	/tʃuː/
chuu-chuu	/tʃuːtʃuː/
chuuhout	/tʃuːhɔut/
chuun	/tʃuːn/
chuut	/tʃuːt/
chuuz	/tʃuːz/
daa	/daː/
daag	/daːg/
daans	/daːns/
daata	/daːta/
dailuut	/daɪluːt/
dainasuor	/daɪnasuɔɹ/
dairek	/daɪɹek/
dala	/dala/
Daminiika	/daminiːka/
Daminikan Ripoblik	/daminikan ɹipoblik/
Danal	/danal/
dangki	/daŋki/
Darati	/daɹati/
dash	/daʃ/
dash awie	/daʃ awɪɛ/
dashiin	/daʃiːn/
dat	/dat/
dat a chuu	/datatʃuː/
dat-de	/datde/
dayalek	/dajalek/
dayaspora	/dajaspoɹa/
dayatishan	/dajatiʃan/
de	/de/
debl	/debl̩/
ded	/ded/
definishan	/definiʃan/
dehn	/dẽ/
dehn kaali	/dẽ kaːli/
dekied	/dekɪɛd/
dem	/dem/
dem-de	/demde/
dem-ya	/demja/
demakrasi	/demakɹasi/
dep	/dep/
Derik	/deɹik/
deso	/deso/
dezat	/dezat/
di	/di/
di grietis	/digɹɪɛtis/
di muos	/dimuɔs/
Di Piiplz Ripoblik a Chaina	/di piːplz ɹipoblik a tʃaɪna/
di uol a dem	/diwuɔla dem/
di Wes Indiiz	/diwesindiːz/
dibiet	/dibɪɛt/
die	/dɪɛ/
dieli	/dɪɛli/
Dievid	/dɪɛvid/
difiit	/difiːt/
difikolti	/difikolti/
difrahn	/difɹã/
difrans	/difɹans/
digrii	/digɹiː/
diil	/diːl/
diil wid	/diːl wid/
diklier	/diklɪɛɹ/
diktieta	/diktɪɛta/
diktietaship	/diktɪɛtaʃip/
dimokratizieshan	/dimokɹatizɪɛʃan/
dipaacha	/dipaːtʃa/
dipen	/dipen/
dipen pan	/dipen pan/
dis	/dis/
dis-ya	/disja/
disaid	/disaɪd/
disaya	/disaja/
dischribyuushan	/distʃɹibjuːʃan/
Disemba	/disemba/
disendant	/disendant/
disepshos	/dɪsepʃos/
disgostid	/disgostid/
Diskovri Bie	/diskovɹibɪɛ/
distingshan	/distiŋʃan/
ditiel	/ditɪɛl/
divaid	/divaɪd/
dizain	/dizaɪn/
dizain fi	/dizaɪnfi/
dizort	/dizoɹt/
domestikieshan	/domestikɪɛʃan/
domplin	/domplin/
dong	/doŋ/
dopi	/dopɪ/
dos	/dos/
doti	/doti/
doti op	/dotiop/
dout	/dɔut/
drop a grong	/dɹopagɹoŋ/
dukunu	/dukunu/
duo	/duɔ/
duohn	/duõ/
duor	/duɔɹ/
dwiit	/dwiːt/
dyuu	/djuː/
ebi	/ebi/
ebi die	/ebi dɪɛ/
ebn	/ebn̩/
ebri	/ebɹi/
ebribadi	/ebɹibadi/
ebriting	/ebɹitiŋ/
ed a stiet	/edastɪɛt/
edikieshan	/edikɪɛʃan/
