a	/aː/
abbadísin	/apatiːsɪn/
abbast	/apast/
AcoTæknival	/aːkou tʰaihknɪval/
Adam	/aːtam/
Adams	/aːtams/
Adda	/ata/
Addi	/atɪ/
adolf	/aːtɔlv/
adolfs	/aːtɔls/
Adolfsson	/aːtɔlfsɔːn/
adrenalín	/aːtrɛnaliːn/
adrenalínpenna	/aːtrɛnalinpʰɛna/
ADSL	/a tjɛː ɛs ɛtl̥/
að	/aːð/
aðal	/aːðal/
aðalatriði	/aːðalatrɪðɪ/
aðalatriðið	/aːðalatrɪðɪð/
aðalatriðum	/aːðalatrɪðʏm/
aðalástæðan	/aːðalaustaiðan/
aðalbandinu	/aːðalpantɪnʏ/
Aðalbjörg	/aːðalpjœrk/
aðalbúðunum	/aːðalpuːðɔnʏm/
aðalbyggingu	/aːðalpɪciŋkʏ/
aðalbyggingunni	/aːðalpɪciŋkʏnɪ/
Aðaldal	/aːðaltaːl/
aðaldyrunum	/aːðaltɪːrɔnʏm/
aðaleigandi	/aːðaleiːɣantɪ/
aðaleikarinn	/aːðalɛːjkarɪn/
aðaleinkenni	/aːðalɛjɲcʰɛnɪ/
aðaleinkunn	/aːðaleiŋ̊kʏn/
aðaleyjarnar	/aːðalɛjatnar/
aðalfjörið	/aːðalfjœːrɪð/
aðalframkvæmdastjóri	/aːðalframkvaimtastjouːrɪ/
aðalfréttirnar	/aːðalfrjɛhtɪtnar/
aðalfulltrúar	/aːðalfʏtl̥tʰruar/
aðalfund	/aːðalfʏnt/
aðalfundar	/aːðalfʏntar/
aðalfundardegi	/aːðalfʏntartɛjɪ/
aðalfundarstörf	/aːðalfʏntarstœrv/
aðalfundarstörfum	/aːðalfʏntarstœrvʏm/
aðalfundi	/aːðalfʏntɪ/
aðalfundinum	/aːðalfʏntɪnʏm/
aðalfundur	/aːðalfʏntʏr/
aðalfundurinn	/aːðalfʏntʏrɪn/
aðalfylkingar	/aːðalfɪl̥ciŋkar/
aðalfyrirlesara	/aːðalfɪːrɪrlɛsara/
aðalfyrirlesari	/aːðalfɪːrɪrlɛsarɪ/
aðalgeirsdóttir	/aːðalcɛjr̥stouhtɪr/
aðalgreinum	/aːðalkrɛjnʏm/
Aðalgötu	/aːðalkœːtʏ/
aðalgötuna	/aːðalkœːtʏna/
aðalgötunni	/aːðalkœːtʏnɪ/
Aðalheiðar	/aːðalheiːðar/
Aðalheiði	/aːðalheiːðɪ/
Aðalheiður	/aːðalheiːðʏr/
aðalheimild	/aːðalhɛjmɪlt/
aðalhlutverk	/aːðal̥ʏtvɛr̥k/
aðalhlutverki	/aːðal̥ʏtvɛr̥cɪ/
aðalhlutverkið	/aːðal̥ʏtvɛr̥cɪð/
aðalhlutverkin	/aːðal̥ʏtvɛr̥cɪn/
aðalhlutverkinu	/aːðal̥ʏtvɛr̥cɪnʏ/
aðalhlutverkum	/aːðal̥ʏtvɛr̥kʏm/
aðalhönnuður	/aːðalhœnʏðʏr/
aðalinnganginum	/aːðalɪŋkauŋcɪnʏm/
aðaljárnbrautarstöðinni	/aːðaljautnprœitarstœːðɪnɪ/
aðalkostur	/aːðalkʰɔstʏr/
aðalkvöldfréttatími	/aːðalkʰvœltfrjɛhtatʰiːmɪ/
aðallandstjórans	/aːðalantstjourans/
aðallega	/aːðalɛɣa/
aðalleiðbeinanda	/aːðalɛjðpɛjnanta/
aðalleiðbeinandi	/aːðalɛjðpɛjnantɪ/
aðalleikendur	/aːðaleiːkɛntʏr/
aðalleit	/aːðalɛjt/
aðallista	/aːðalɪsta/
aðalmarkmið	/aːðalmar̥kmɪð/
aðalmálið	/aːðalmauːlɪð/
aðalnámskrá	/aːðalnaumskrau/
aðalnámskránni	/aːðalnaumskraunɪ/
aðalnámskrár	/aːðalnaumskraur/
aðalorkan	/aːðalɔr̥kan/
aðalpersóna	/aːðalpʰɛr̥souna/
aðalpersónan	/aːðalpʰɛr̥sounan/
aðalpersónu	/aːðalpʰɛr̥sounʏ/
aðalpósthúsinu	/aːðalpousthusɪnʏ/
aðalrétt	/aːðalrjɛht/
aðalréttinum	/aːðalrjɛhtɪnʏm/
aðalrétturinn	/aːðalrjɛhtʏrɪn/
aðalritstjóra	/aːðalrɪːtstjoura/
aðalritstjórann	/aːðalrɪːtstjouran/
aðalritstjórans	/aːðalrɪːtstjourans/
aðalritstjórinn	/aːðalrɪːtstjourɪn/
aðalræðismaður	/aːðalraiːðɪsmaːðʏr/
aðalsafn	/aːðalsapn̥/
aðalsafnaðarfundur	/aːðalsapnaðarfʏntʏr/
aðalsafninu	/aːðalsapnɪnʏ/
aðalsafnsins	/aːðalsapsɪns/
aðalsagnarinnar	/aːðalsaknarɪnar/
aðalsal	/aːðalsaːl/
aðalsalnum	/aːðalsalnʏm/
aðalskipulag	/aːðalscɪpʏlaɣ/
aðalskipulagi	/aːðalscɪːpʏlaːjɪ/
aðalskipulaginu	/aːðalscɪːpʏlaːjɪnʏ/
aðalskipulags	/aːðalscɪpʏlaxs/
aðalskipulagsskyldra	/aːðalscɪpʏlaxscɪltra/
aðalsmaður	/aːðalsmaːðʏr/
aðalsmerki	/aːðalsmɛr̥cɪ/
aðalstarf	/aːðalstarv/
aðalstarfi	/aːðalstarvɪ/
Aðalstein	/aːðalsteiːn/
Aðalsteini	/aːðalsteiːnɪ/
Aðalsteinn	/aːðalsteitn̥/
Aðalsteins	/aːðalsteins/
Aðalsteinsdóttir	/aːðalsteinstouhtɪr/
Aðalsteinsdóttur	/aːðalsteinstouhtʏr/
Aðalsteinsson	/aːðalsteinsɔːn/
Aðalsteinssonar	/aːðalsteinsɔːnar/
Aðalsteinssyni	/aːðalsteinsɪːnɪ/
aðalstjórn	/aːðalstjourtn̥/
aðalstoð	/aːðalstɔð/
Aðalstræti	/aːðalstraiːtɪ/
Aðalstrætis	/aːðalstraiːtɪs/
aðalstyrktaraðili	/aːðalstɪr̥taraðɪlɪ/
aðalstöðvar	/aːðalstœðvar/
aðalstöðvum	/aːðalstœðvʏm/
aðalstöðvunum	/aːðalstœðvɔnʏm/
aðalsættum	/aːðalsaihtʏm/
aðaltekjulindir	/aːðaltʰɛːcʏlɪntɪr/
aðaltorg	/aːðal̥tɔrk/
aðaluppspretta	/aːðalʏhpsprɛhta/
aðalvandinn	/aːðalvantɪn/
aðalveginn	/aːðalveiːjɪn/
aðalverka	/aːðalvɛr̥ka/
aðalverki	/aːðalvɛr̥cɪ/
aðalverktaka	/aːðalvɛr̥ktʰaka/
aðalverktakar	/aːðalvɛr̥ktʰakar/
aðalverktökum	/aːðalvɛr̥ktʰœkʏm/
Aðalvík	/aːðalviːk/
aðbúnað	/aðpunað/
aðbúnaði	/aðpunaðɪ/
aðbúnaður	/aðpunaðʏr/
aðdáandi	/aðtauantɪ/
aðdáenda	/aðtauɛnta/
aðdáendaklúbbs	/aðtauɛntakʰlups/
aðdáendum	/aðtauɛntʏm/
aðdáendur	/aðtauɛntʏr/
aðdáun	/aðtauʏn/
aðdáunar	/aðtauʏnar/
aðdáunaraugum	/aðtauʏnarœiːɣʏm/
aðdáunarverð	/aðtauʏnarvɛrð/
aðdáunarverðar	/aðtauʏnarvɛrðar/
aðdáunarvert	/aðtauʏnarvɛr̥t/
aðdáunin	/aðtauʏnɪn/
aðdáunina	/aðtauʏnɪna/
aðdraganda	/aðtraɣanta/
aðdragandi	/aðtraɣantɪ/
aðdráttarafl	/aðtrauhtarapl̥/
aðdráttarlinsuna	/aðtrauhtarlɪnsʏna/
aðdróttanir	/aðtrouhtanɪr/
aðeins	/aːðeins/
aðfangadag	/aðfauŋkataːɣ/
aðfangadagskvöld	/aðfauŋkataxskvœlt/
aðfangadagur	/aðfauŋkataːɣʏr/
aðfaranótt	/aðfaranouht/
aðfarir	/aðfarɪr/
aðfarirnar	/aðfarɪtnar/
aðferð	/aðfɛrð/
aðferða	/aðfɛrða/
aðferðafræði	/aðfɛrðafraiːðɪ/
aðferðin	/aðfɛrðɪn/
aðferðina	/aðfɛrðɪna/
aðferðinni	/aðfɛrðɪnɪ/
aðferðir	/aðfɛrðɪr/
aðferðirnar	/aðfɛrðɪtnar/
aðferðum	/aðfɛrðʏm/
aðfinnslur	/aðfɪnstlʏr/
aðflugsbúnað	/aðflʏxspuːnað/
aðflugshallasendum	/aðflʏxshatlasɛntʏm/
aðflugsstefnu	/aðflʏxstɛpnʏ/
aðframkomnir	/aðframkʰɔmnɪr/
aðföng	/aðfœiŋk/
aðför	/aðfœr/
aðgang	/aðkauŋk/
aðgangi	/aðkauŋcɪ/
aðgangs	/aðkauŋks/
